Tipo;SKU;Nombre;Publicado;¿Está destacado?;Visibilidad en el catálogo;Descripción corta;Descripción;Día en que empieza el precio rebajado;Día en que termina el precio rebajado;Estado del impuesto;Clase de impuesto;¿En inventario?;Inventario;Cantidad de bajo inventario;¿Permitir reservas de productos agotados?;¿Vendido individualmente?;Peso (kg);Longitud (cm);Anchura (cm);Altura (cm);¿Permitir valoraciones de clientes?;Nota de compra;Precio rebajado;Precio normal;Categorías;Etiquetas;Clase de envío;Imágenes;Límite de descargas;Días de caducidad de la descarga;Superior;Productos agrupados;Ventas dirigidas;Ventas cruzadas;URL externa;Texto del botón;Posición;Nombre del atributo 1;Valor(es) del atributo 1;Atributo visible 1;Atributo global 1;Nombre del atributo 2;Valor(es) del atributo 2;Atributo visible 2;Atributo global 2;Nombre del atributo 3;Valor(es) del atributo 3;Atributo visible 3;Atributo global 3
variation;BIK-VILL-BLA-CAJ-2030;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;30;20;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-caja.jpg;;;BIK-VILL;;;;;;3;Color;Blanco;;1;Medida;20 X 30;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-BLA-CHA-2030;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;30;20;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-chata.jpg;;;BIK-VILL;;;;;;4;Color;Blanco;;1;Medida;20 X 30;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-BLA-CAJ-3040;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;40;30;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-caja.jpg;;;BIK-VILL;;;;;;5;Color;Blanco;;1;Medida;30 X 40;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-BLA-CHA-3040;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;40;30;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-chata.jpg;;;BIK-VILL;;;;;;6;Color;Blanco;;1;Medida;30 X 40;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-BLA-CAJ-4050;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;50;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-caja.jpg;;;BIK-VILL;;;;;;7;Color;Blanco;;1;Medida;40 X 50;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-BLA-CHA-4050;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;50;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-chata.jpg;;;BIK-VILL;;;;;;8;Color;Blanco;;1;Medida;40 X 50;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-BLA-CAJ-4060;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;60;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-caja.jpg;;;BIK-VILL;;;;;;9;Color;Blanco;;1;Medida;40 X 60;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-BLA-CHA-4060;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;60;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-chata.jpg;;;BIK-VILL;;;;;;10;Color;Blanco;;1;Medida;40 X 60;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-BLA-CAJ-5070;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;70;50;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-caja.jpg;;;BIK-VILL;;;;;;11;Color;Blanco;;1;Medida;50 X 70;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-BLA-CHA-5070;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;70;50;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-chata.jpg;;;BIK-VILL;;;;;;12;Color;Blanco;;1;Medida;50 X 70;;1;Tipo de Marco;Chata;;1
variation;BIK-VILL-BLA-CAJ-6090;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;90;60;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-caja.jpg;;;BIK-VILL;;;;;;13;Color;Blanco;;1;Medida;60 X 90;;1;Tipo de Marco;Caja;;1
variation;BIK-VILL-BLA-CHA-6090;Cuadro Village Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Blanco.";;;taxable;parent;1;;;0;0;1;90;60;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/blanco-chata.jpg;;;BIK-VILL;;;;;;14;Color;Blanco;;1;Medida;60 X 90;;1;Tipo de Marco;Chata;;1
variable;BIK-REDB;Cuadro Red Bike;1;0;visible;"Decora tu hogar con nuestros diseños y marcos modernos y exclusivos. Este producto es un cuadro listo para colgar, incluye lámina impresa en papel de alto gramaje.
Disponible en moldura tipo chata o cajón de madera kiry; colores Negro, Blanco o Natural. También disponibles en varias medidas.

Incluye vidrio de 2 mm y accesorios para colgar.";;;;taxable;;1;;;0;0;;;;;1;;;;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/bikes-horizontal-ambientada2.jpg, http://prontomarco.test/wp-content/uploads/2021/07/bikes-horizontal2.jpg;;;;;;;;;0;Color;Blanco, Natural, Negro;1;1;Medida;15 X 20, 20 X 30, 30 X 40, 40 X 50, 40 X 60, 50 X 70, 60 X 90;1;1;Tipo de Marco;Caja, Chata;1;1
variation;BIK-REDB-NAT-CAJ-1520;Cuadro Red Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Natural.";;;taxable;parent;1;;;0;0;1;20;15;2;0;;;20;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/natural-caja.jpg;;;BIK-REDB;;;;;;15;Color;Natural;;1;Medida;15 X 20;;1;Tipo de Marco;Caja;;1
variation;BIK-REDB-NAT-CHA-1520;Cuadro Red Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Natural.";;;taxable;parent;1;;;0;0;1;20;15;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/natural-chata.jpg;;;BIK-REDB;;;;;;16;Color;Natural;;1;Medida;15 X 20;;1;Tipo de Marco;Chata;;1
variation;BIK-REDB-NAT-CAJ-2030;Cuadro Red Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Natural.";;;taxable;parent;1;;;0;0;1;30;20;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/natural-caja.jpg;;;BIK-REDB;;;;;;17;Color;Natural;;1;Medida;20 X 30;;1;Tipo de Marco;Caja;;1
variation;BIK-REDB-NAT-CHA-2030;Cuadro Red Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Natural.";;;taxable;parent;1;;;0;0;1;30;20;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/natural-chata.jpg;;;BIK-REDB;;;;;;18;Color;Natural;;1;Medida;20 X 30;;1;Tipo de Marco;Chata;;1
variation;BIK-REDB-NAT-CAJ-3040;Cuadro Red Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Natural.";;;taxable;parent;1;;;0;0;1;40;30;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/natural-caja.jpg;;;BIK-REDB;;;;;;19;Color;Natural;;1;Medida;30 X 40;;1;Tipo de Marco;Caja;;1
variation;BIK-REDB-NAT-CHA-3040;Cuadro Red Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Natural.";;;taxable;parent;1;;;0;0;1;40;30;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/natural-chata.jpg;;;BIK-REDB;;;;;;20;Color;Natural;;1;Medida;30 X 40;;1;Tipo de Marco;Chata;;1
variation;BIK-REDB-NAT-CAJ-4050;Cuadro Red Bike;1;0;visible;;"Tipo de Marco: Cajón.
Color de Marco: Natural.";;;taxable;parent;1;;;0;0;1;50;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/natural-caja.jpg;;;BIK-REDB;;;;;;21;Color;Natural;;1;Medida;40 X 50;;1;Tipo de Marco;Caja;;1
variation;BIK-REDB-NAT-CHA-4050;Cuadro Red Bike;1;0;visible;;"Tipo de Marco: Chata.
Color de Marco: Natural.";;;taxable;parent;1;;;0;0;1;50;40;2;0;;;30;Bikes, Bikes > Horizontal;cuadro horizontal, bikes, bicicletas;;http://prontomarco.test/wp-content/uploads/2021/07/natural-chata.jpg;;;BIK-REDB;;;;;;22;Color;Natural;;1;Medida;40 X 50;;1;Tipo de Marco;Chata;;1
